raw_venue,normalized_venue
"LAK '16 CONFERENCE PROCEEDINGS: THE SIXTH INTERNATIONAL LEARNING ANALYTICS & KNOWLEDGE CONFERENCE,",Lak Conference Proceedings: The Sixth International Learning Analytics And Knowledge Conference
"CIS) and IEEE Conference Robotics, Automation and Mechatronics","Cis) And Ieee Conference Robotics, Automation And Mechatronics"
Combinatorial Optimization,Combinatorial Optimization
COMMUNICATIONS IN APPLIED AND INDUSTRIAL MATHEMATICS,Communications In Applied And Industrial Mathematics
"ADAPTIVE AND INTELLIGENT SYSTEMS, ICAIS 2014","Adaptive And Intelligent Systems, Icais"
Neural Networks - 2004 Special issue: New developments in self-organizing systems,Neural Networks - Special : New Developments In Self-Organizing Systems
AAAI Spring Symposium: Argumentation for Consumers of Healthcare,Aaai Spring Symposium: Argumentation For Consumers Of Healthcare
Computational and Mathematical Methods in Medicine,Computational And Mathematical Methods In Medicine
ISDA,Isda
Computing Permutation Encodings,Computing Permutation Encodings
ECOOP Workshops,Ecoop Workshops
26TH IRANIAN CONFERENCE ON ELECTRICAL ENGINEERING (ICEE 2018),Iranian Conference On Electrical Engineering
"DESIGN, USER EXPERIENCE, AND USABILITY: USER EXPERIENCE DESIGN FOR DIVERSE INTERACTION PLATFORMS AND ENVIRONMENTS, PT II","Design, User Experience, And Usability: User Experience Design For Diverse Interaction Platforms And Environments, Pt"
"Pattern Analysis and Machine Intelligence, IEEE Transactions","Pattern Analysis And Machine Intelligence, Ieee Transactions"
PLPV,Plpv
Tcl/Tk Conference,Tcl/Tk Conference
IEEE INTELLIGENT SYSTEMS & THEIR APPLICATIONS,Ieee Intelligent Systems And Their Applications
Proceedings of the 2011 Conference of the Center for Advanced Studies on Collaborative Research,Proceedings Of The Conference Of The Center For Advanced Studies On Collaborative Research
GfKl,Gfkl
"SIGCSE '16: The 47th ACM Technical Symposium on Computing Science Education
		      Memphis
		      Tennessee
		      USA
		    March, 2016",Sigcse : The Acm Technical Symposium On Computing Science Education Memphis Tennessee Usa March
IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,Ieee Transactions On Evolutionary Computation
"ADVANCES IN CRYPTOLOGY - CRYPTO'97, PROCEEDINGS","Advances In Cryptology - Crypto, Proceedings"
Regulatory Genomics,Regulatory Genomics
Security Informatics,Security Informatics
Computational Intelligence and Data Mining,Computational Intelligence And Data Mining
EUROCAL '85 Research Contributions from the European Conference on Computer Algebra-Volume 2,Eurocal Research Contributions From The European Conference On Computer Algebra
ACIVS,Acivs
"ANALYSIS OF IMAGES, SOCIAL NETWORKS AND TEXTS, AIST 2015","Analysis Of Images, Social Networks And Texts, Aist"
PWNLP@IJCNLP,Pwnlp@Ijcnlp
Computer Support for Collaborative Learning,Computer Support For Collaborative Learning
"IDAACS), 2011 IEEE 6th International Conference","Idaacs), Ieee International Conference"
I. J. Social Robotics,J Social Robotics
"Soft Computing - A Fusion of Foundations, Methodologies and Applications - Special Issue on Soft Computing in Decision Modeling; Guest Editors: Vicenc Torra, Yasuo Narukawa","Soft Computing - A Fusion Of Foundations, Methodologies And Applications - Special On Soft Computing In Decision Modeling; Guest Editors: Vicenc Torra, Yasuo Narukawa"
Model-Driven Development of Advanced User Interfaces,Model-Driven Development Of Advanced User Interfaces
Symposium on Computational Geometry,Symposium On Computational Geometry
European Summer School in Information Retrieval,European Summer School In Information Retrieval
INA-OCMC@HiPEAC,Ina-Ocmc@Hipeac
RoboCup,Robocup
IEEE Computer,Ieee Computer
International Symposium on High-Performance Computer Architecture-Proceedings,International Symposium On High-Performance Computer Architecture-Proceedings
CoLIS,Colis
Quality of Future Internet Services,Quality Of Future Internet Services
Robot Vision,Robot Vision
USENIX Special Workshop on Intelligence at the Network Edge,Usenix Special Workshop On Intelligence At The Network Edge
ESOCC Workshops,Esocc Workshops
NDSS,Ndss
"2016 International Conference on Image, Vision and Computing (ICIVC)","International Conference On Image, Vision And Computing"
Proceedings of the 2011 Grand Challenges on Modeling and Simulation Conference,Proceedings Of The Grand Challenges On Modeling And Simulation Conference
AAAI Spring Symposium: Human Behavior Modeling,Aaai Spring Symposium: Human Behavior Modeling
Mechanism design with partial revelation,Mechanism Design With Partial Revelation
"Proceedings - 2010 International Conference on Service Science, ICSS 2010","Proceedings - International Conference On Service Science, Icss"
2019 25th IEEE International Symposium on Asynchronous Circuits and Systems (ASYNC),Ieee International Symposium On Asynchronous Circuits And Systems
Algorithmica - Special Issue: Theory of Evolutionary Computation,Algorithmica - Special : Theory Of Evolutionary Computation
SCIENTIFIC DATA,Scientific Data
2019 14th International Conference on Design & Technology of Integrated Systems In Nanoscale Era (DTIS),International Conference On Design And Technology Of Integrated Systems In Nanoscale Era
International Joint Conference on Neural Networks,International Joint Conference On Neural Networks
2018 International Symposium on Micro-NanoMechatronics and Human Science (MHS),International Symposium On Micro-Nanomechatronics And Human Science
Object-oriented design for sparse direct solvers,Object-Oriented Design For Sparse Direct Solvers
HealthCom,Healthcom
2018 9th Workshop on Hyperspectral Image and Signal Processing: Evolution in Remote Sensing (WHISPERS),Workshop On Hyperspectral Image And Signal Processing: Evolution In Remote Sensing
Distributed and Parallel Databases,Distributed And Parallel Databases
CRYPTO '93 Proceedings of the 13th annual international cryptology conference on Advances in cryptology,Crypto Proceedings Of The Annual International Cryptology Conference On Advances In Cryptology
Grana,Grana
